budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,genres_parsed,keywords_parsed,num_genres,num_keywords,original_language_index,features,success
200000000,"""[{""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}]""",http://www.ozthegreatandpowerfulmovie.com,68728.0,"""[{""""id"""": 291"," """"name"""": """"circus""""}"," {""""id"""": 616",0,0.0," """"name"""": """"magic""""}"," {""""id"""": 3929"," """"name"""": """"hope""""}"," {""""id"""": 4662",0.0,0,,,-1,-1,3.0,"[200000000.0,-1.0,-1.0,3.0,68728.0,0.0,0.0,0.0]",0
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.theamazingspiderman.com,102382.0,"""[{""""id"""": 1523"," """"name"""": """"obsession""""}"," {""""id"""": 8828",0,0.0," """"name"""": """"sequel""""}"," {""""id"""": 9717"," """"name"""": """"based on comic book""""}"," {""""id"""": 13040",0.0,0,,,-1,-1,10.0,"[200000000.0,-1.0,-1.0,10.0,102382.0,0.0,0.0,0.0]",0
170000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}]""",http://disney.go.com/tron/,20526.0,"""[{""""id"""": 310"," """"name"""": """"artificial intelligence""""}"," {""""id"""": 1308",0,0.0," """"name"""": """"computer program""""}"," {""""id"""": 4565"," """"name"""": """"dystopia""""}"," {""""id"""": 6104",0.0,0,,,-1,-1,1.0,"[170000000.0,-1.0,-1.0,1.0,20526.0,0.0,0.0,0.0]",0
200000000,"""[{""""id"""": 16"," """"name"""": """"Animation""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 35",0.0,http://www.disney.go.com/cars/,49013,"""[{""""id"""": 830",0,0.0," """"name"""": """"sequel""""}"," {""""id"""": 10267"," """"name"""": """"comedy""""}"," {""""id"""": 11500",0.0,0,,,-1,-1,7.0,"(8,[0,1,2,3],[200000000.0,-1.0,-1.0,7.0])",0
200000000,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}"," {""""id"""": 878",0.0,http://greenlanternmovie.warnerbros.com/,44912,"""[{""""id"""": 849",0,0.0," """"name"""": """"transformation""""}"," {""""id"""": 9715"," """"name"""": """"superhero""""}"," {""""id"""": 9951",0.0,0,,,-1,-1,0.0,"(8,[0,1,2],[200000000.0,-1.0,-1.0])",0
200000000,"""[{""""id"""": 16"," """"name"""": """"Animation""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}]""",http://disney.go.com/toystory/,10193.0,"""[{""""id"""": 1562"," """"name"""": """"hostage""""}"," {""""id"""": 3616",0,0.0," """"name"""": """"toy""""}"," {""""id"""": 5462"," """"name"""": """"barbie""""}"," {""""id"""": 10336",0.0,0,,,-1,-1,6.0,"[200000000.0,-1.0,-1.0,6.0,10193.0,0.0,0.0,0.0]",0
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 878"," """"name"""": """"Science Fiction""""}"," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",https://www.warnerbros.com/terminator-salvation,534.0,"""[{""""id"""": 83"," """"name"""": """"saving the world""""}"," {""""id"""": 310",0,0.0," """"name"""": """"prophecy""""}"," {""""id"""": 582"," """"name"""": """"san francisco""""}"," {""""id"""": 679",0.0,0,,,-1,-1,0.0,"(8,[0,1,2,4],[200000000.0,-1.0,-1.0,534.0])",0
190000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}]""",http://www.furious7.com/,168259,"""[{""""id"""": 830"," """"name"""": """"car race""""}"," {""""id"""": 3428",0.0," {""""id"""": 9748"," """"name"""": """"revenge""""}"," {""""id"""": 9937",0,0.0," """"name"""": """"car""""}"," {""""id"""": 40870"," """"name"""": """"race""""}"," {""""id"""": 205399",0.0,0,,,-1,-1,200.0,"(8,[0,1,2,3],[190000000.0,-1.0,-1.0,200.0])",0
200000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 27"," """"name"""": """"Horror""""}"," {""""id"""": 878",0.0," {""""id"""": 53"," """"name"""": """"Thriller""""}]""",http://www.worldwarzmovie.com,72190,0.0," """"name"""": """"dystopia""""}"," {""""id"""": 12332"," """"name"""": """"apocalypse""""}"," {""""id"""": 12377",0.0,0,,,-1,-1,15.0,"(8,[0,1,2,3],[200000000.0,-1.0,-1.0,15.0])",0
250000000,"""[{""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}"," {""""id"""": 878",0.0,http://www.x-menmovies.com/,127585,"""[{""""id"""": 1228",0,0.0," """"name"""": """"mutant""""}"," {""""id"""": 4379"," """"name"""": """"time travel""""}"," {""""id"""": 8828",0.0,0,,,-1,-1,10.0,"(8,[0,1,2,3],[250000000.0,-1.0,-1.0,10.0])",0
